volume,journal_name
37,Workplace Health & Safety
125,Physical review letters
11,Physical review letters
30,Healthcare informatics : the business magazine for information and communication systems
6,Healthcare informatics : the business magazine for information and communication systems
42,Archives of Disease in Childhood
2,J. Rail Transp. Plan. Manag.
12,Nature Communications
42,Cell reports
235,Science
4786,Science
28,Cell
3,Cell
17,Int. J. Algebra Comput.
22,Molecular Biology of the Cell
173,Radiology
1,Radiology
21,Clinical allergy and immunology
23,Viral immunology
2,Viral immunology
13,Organic letters
12,Organic letters
15,Muscle & Nerve
7,"Archivio ""E. Maragliano"" di patologia e clinica"
6,"Archivio ""E. Maragliano"" di patologia e clinica"
7,Oncotarget
33,Biochemistry and molecular biology international
4,Biochemistry and molecular biology international
210,The Journal of surgical research
350,Science
52,Chemical communications
85,Chemical communications
219,Nature
121,Teachers College Record: The Voice of Scholarship in Education
30,Journal of Neuropathology and Experimental Neurology
14,Provider
8,Provider
40,Indian Journal of Psychological Medicine
507,Gene
2,Gene
4,Der Anaesthesist
3,Der Anaesthesist
46,Disability and Rehabilitation
62,Diabetes
7,Nature Reviews Gastroenterology &Hepatology
974,Advances in experimental medicine and biology
328,Comptes rendus biologies
2,Comptes rendus biologies
39,The Society for the Social History of Medicine bulletin
68,La Medecine infantile
6,Bioinformation
13,Scientific Reports
29,Statistical Methods in Medical Research
124,The New phytologist
2,The New phytologist
36,Journal of Interpersonal Violence
256,The Journal of surgical research
28,"Plastics, Rubber and Composites"
222,The British Journal of Psychiatry
4,Veterinariia
64,"Western journal of surgery, obstetrics, and gynecology"
7,"Western journal of surgery, obstetrics, and gynecology"
14,Journal of andrology
4,Journal of andrology
19,PLOS Neglected Tropical Diseases
348,Mutation research
1,Mutation research
4,Khirurgiia
29,"Saudi journal of kidney diseases and transplantation : an official publication of the Saudi Center for Organ Transplantation, Saudi Arabia"
3,"Saudi journal of kidney diseases and transplantation : an official publication of the Saudi Center for Organ Transplantation, Saudi Arabia"
32,Inf. Process. Manag.
71,Przeglad lekarski
4,Przeglad lekarski
268,The American journal of physiology
6,The American journal of physiology
Pt,The American journal of physiology
2,The American journal of physiology
13,British Journal of Haematology
17,Journal of Thrombosis and Haemostasis
96,Physical review. E
2-1,Physical review. E
10,The Homoeopathic Physician
13,Shoulder & Elbow
256,Bioresource technology
8,Frontiers in Immunology
28,"Annals of the Academy of Medicine, Singapore"
1,"Annals of the Academy of Medicine, Singapore"
23,Journal of the American College of Cardiology
2,Journal of the American College of Cardiology
12,Genome Biology and Evolution
2,Organic letters
15,Organic letters
16,Brain & NeuroRehabilitation
17,Head & Face Medicine
40,Inorganic chemistry
15,Inorganic chemistry
21,BMC Women's Health
6,AACN clinical issues
3,AACN clinical issues
7,Social science & medicine
4,Social science & medicine
55,Medecine tropicale : revue du Corps de sante colonial
4,Medecine tropicale : revue du Corps de sante colonial
Suppl,Medecine tropicale : revue du Corps de sante colonial
64,Il Policlinico. Sezione pratica
49,Il Policlinico. Sezione pratica
78,Acta Cardiologica
83,Gynecologic oncology
2,Gynecologic oncology
26,Cancer Investigation
12,Medical products sales : MPS : the official journal of the American Surgical Trade Association
5,Medical products sales : MPS : the official journal of the American Surgical Trade Association
23,Seminars in cancer biology
1,Seminars in cancer biology
205,AJR. American journal of roentgenology
5,AJR. American journal of roentgenology
80,American Journal of Pharmaceutical Education
46,Cancer research
6,Cancer research
1772,Biochimica et biophysica acta
1,Biochimica et biophysica acta
448,Food chemistry
42,Revista gaucha de enfermagem
spe,Revista gaucha de enfermagem
22,Quantum Information Processing
14,The Admitting management journal
2,The Admitting management journal
691,Biochemical and biophysical research communications
8,Memory
4,Die Medizinische
13,Die Medizinische
6,Oncotarget
73,International Journal of Clinical Practice
172,Developmental biology
2,Developmental biology
175,Military medicine
8,Military medicine
21,"Midwife, health visitor & community nurse"
10,"Midwife, health visitor & community nurse"
23,Trends in plant science
10,Trends in plant science
45,Magnetic Resonance in Chemistry
1,Journal of Cardiovascular Translational Research
140,Microbiology
(,Microbiology
Pt,Microbiology
1),Microbiology
12175,"Explainable, Transparent Autonomous Agents and Multi-Agent Systems"
4,Research and Practice in Thrombosis and Haemostasis
55,European journal of medical genetics
1,European journal of medical genetics
10,Antioxidants & redox signaling
9,Antioxidants & redox signaling
8,Biotechnology for Biofuels
301,The Journal of pharmacology and experimental therapeutics
3,The Journal of pharmacology and experimental therapeutics
26,Environmental Science and Pollution Research
234,J. Comput. Phys.
36,The Korean Journal of Internal Medicine
8,Folia medica Neerlandica
31,SIGMOD Rec.
23,Molecules : A Journal of Synthetic Chemistry and Natural Product Chemistry
45,Journal of personality assessment
4,Journal of personality assessment
47,The International journal of eating disorders
5,The International journal of eating disorders
9,Nanomaterials
70,Journal of the Indian Medical Association
2,Journal of the Indian Medical Association
23,Dental materials journal
3,Dental materials journal
12,Frontiers in Psychology
18,AMB : revista da Associacao Medica Brasileira
5,AMB : revista da Associacao Medica Brasileira
2,Current opinion in investigational drugs
10,Current opinion in investigational drugs
12,"Sensors (Basel, Switzerland)"
38,"The Police Journal: Theory, Practice and Principles"
44,Groundwater
26,Canadian journal of microbiology
12,Canadian journal of microbiology
140,ACP journal club
1,ACP journal club
11,Nano letters
9,Nano letters
14,Occupational medicine
1,Occupational medicine
102,British Journal of Cancer
25,Journal of refractive surgery
1,Journal of refractive surgery
Suppl,Journal of refractive surgery
10,Current pharmaceutical design
1,Current pharmaceutical design
83,Concours medical
50,Acta medica Iranica
6,Acta medica Iranica
15,Int. J. Digit. Curation
15,Remote. Sens.
35,Bioprocess and Biosystems Engineering
76,The Journal of clinical psychiatry
3,The Journal of clinical psychiatry
37,Ophthalmic Genetics
2,Future oncology
6,Future oncology
63,Acta anatomica
3,Acta anatomica
73,Proceedings of the National Academy of Sciences of the United States of America
3,Proceedings of the National Academy of Sciences of the United States of America
31,Gynecologic and obstetric investigation
4,Gynecologic and obstetric investigation
48,Environmental Management
10,Gan to kagaku ryoho. Cancer & chemotherapy
4,Gan to kagaku ryoho. Cancer & chemotherapy
Pt,Gan to kagaku ryoho. Cancer & chemotherapy
2,Gan to kagaku ryoho. Cancer & chemotherapy
39,International Journal of Immunogenetics
90,BJOG: An International Journal of Obstetrics & Gynaecology
27,The Journal of Neuroscience
26,The Journal of invasive cardiology
7,The Journal of invasive cardiology
12,Neurology and Therapy
6,Journal of Cutaneous Medicine and Surgery: Incorporating Medical and Surgical Dermatology
130,
14,Arzneimittel-Forschung
7,Integrative biology : quantitative biosciences from nano to macro
10,Integrative biology : quantitative biosciences from nano to macro
122,Child abuse & neglect
abs/2311.16670,ArXiv
78,Comput. Educ.
37,World Journal of Surgery
283,Journal of Biological Chemistry
100,Chemical Biology & Drug Design
23,Trials
10,Computers in nursing
6,Computers in nursing
41,Voprosy onkologii
2,Voprosy onkologii
55,Journal of virological methods
1,Journal of virological methods
9,Sleep Science
35,Family medicine
2,Family medicine
13,Aging (Albany NY)
9,Journal of Thoracic Oncology
24,International Journal of Engine Research
86,Voprosy pitaniia
6,Voprosy pitaniia
31,Nanotechnology
32,Prikladnaia biokhimiia i mikrobiologiia
5,Prikladnaia biokhimiia i mikrobiologiia
29,Pediatric dentistry
4,Pediatric dentistry
30,Virologie
1,Virologie
5,Organic & biomolecular chemistry
16,Organic & biomolecular chemistry
10,Frontiers in Immunology
40,Rinsho shinkeigaku = Clinical neurology
7,Rinsho shinkeigaku = Clinical neurology
43,International Journal of Oncology
202,Mathematical biosciences
1,Mathematical biosciences
72,The Journal of Adolescent Health
28,Allergologia et immunopathologia
6,Allergologia et immunopathologia
105,Minerva medica
5,Minerva medica
Suppl,Minerva medica
1,Minerva medica
133,Casopis lekaru ceskych
13,Casopis lekaru ceskych
10,Heliyon
5,Neurosurgical focus
5,Neurosurgical focus
24,Conservation Biology
57,Applied optics
27,Applied optics
47,The Journal of investigative dermatology
5,The Journal of investigative dermatology
12,Journal of computer assisted tomography
5,Journal of computer assisted tomography
68,Acta Crystallographica Section E: Structure Reports Online
33,The European Journal of Public Health
3,Organic letters
16,Organic letters
abs/2010.10590,ArXiv
94,Gaceta medica de Mexico
54,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America
Suppl,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America
3,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America
5,Cognitive Computation
2,Images in Paediatric Cardiology
12,Frontiers in Immunology
20,British journal of nursing
9,British journal of nursing
224,Acta psychologica
21,European Heart Journal Cardiovascular Imaging
19,Nihon Shika Ishikai zasshi
11,Nihon Shika Ishikai zasshi
16,Polymers
24,Journal of Gastrointestinal Surgery
7,Molecular pharmacology
2,Molecular pharmacology
26,Molecules
301,American journal of physiology. Heart and circulatory physiology
5,American journal of physiology. Heart and circulatory physiology
229,Journal of environmental management
9,Medycyna wieku rozwojowego
3,Medycyna wieku rozwojowego
Pt,Medycyna wieku rozwojowego
1,Medycyna wieku rozwojowego
5,"Voprosy kurortologii, fizioterapii, i lechebnoi fizicheskoi kultury"
2,Archives of clinical neuropsychology : the official journal of the National Academy of Neuropsychologists
4,Archives of clinical neuropsychology : the official journal of the National Academy of Neuropsychologists
16,Journal of Thoracic Disease
93,Research in veterinary science
1,Research in veterinary science
12,Journal of biomedical nanotechnology
7,Journal of biomedical nanotechnology
1,Lancet
7903,Lancet
21,IEEE Transactions on Very Large Scale Integration (VLSI) Systems
73,The Netherlands journal of medicine
2,The Netherlands journal of medicine
abs/2407.04335,ArXiv
19,Archives de pediatrie : organe officiel de la Societe francaise de pediatrie
7,Archives de pediatrie : organe officiel de la Societe francaise de pediatrie
15,Schizophrenia Research
31,Journal of andrology
1,Journal of andrology
27,Journal of Health Care for the Poor and Underserved
37,Neuroscience & Biobehavioral Reviews
146,Archiv fur Kinderheilkunde
2,Archiv fur Kinderheilkunde
47,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine"
11,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine"
19,Der Orthopade
1,Der Orthopade
60,Tijdschrift Voor Tandheelkunde
10,Tijdschrift Voor Tandheelkunde
33,Journal of Orthopaedic Trauma
60,Journal of Clinical Pathology
48,The Journal of family practice
2,The Journal of family practice
26,European review for medical and pharmacological sciences
19,European review for medical and pharmacological sciences
12,The Journal of Endovascular Therapy
42,Neurocomputing
82,The American Surgeon
32,Journal of Engineering Thermophysics
39,Brazilian journal of medical and biological research = Revista brasileira de pesquisas medicas e biologicas
8,Brazilian journal of medical and biological research = Revista brasileira de pesquisas medicas e biologicas
73,Journal of Neurochemistry
86,Duodecim; laaketieteellinen aikakauskirja
21,Duodecim; laaketieteellinen aikakauskirja
58,Minerva cardioangiologica
1,Minerva cardioangiologica
3,Proceedings 2001 ICRA. IEEE International Conference on Robotics and Automation (Cat. No.01CH37164)
13,The Journal of small animal practice
2,The Journal of small animal practice
51,Acta histochemica
1,Acta histochemica
16,Journal of autonomic pharmacology
4,Journal of autonomic pharmacology
28,Statistics in Medicine
78,Neurosurgery
3,Neurosurgery
57,Cancer research
18,Cancer research
7,Biointerphases
82,Physical therapy
8,Physical therapy
183,Nature
38,Cross-Cultural Research
33,Prehospital and Disaster Medicine
104,American journal of obstetrics and gynecology
4,American journal of obstetrics and gynecology
1,IEEE Signal Processing Letters
128,Journal of Abnormal Psychology
26,The Korean journal of laboratory medicine
6,The Korean journal of laboratory medicine
33,Psychoanalytic Dialogues
6,Journal of Laboratory Physicians
39,Communication Disorders Quarterly
656,Methods in molecular biology
28,Journal of molecular and cellular cardiology
12,Journal of molecular and cellular cardiology
64,Journal of the Irish Medical Association
404,Journal of the Irish Medical Association
11,Therapeutic Advances in Neurological Disorders
4,British Medical Journal
44,Farmakologiia i toksikologiia
5,Farmakologiia i toksikologiia
17,Journal for the Study of the Old Testament
23,Current opinion in structural biology
2,Current opinion in structural biology
66,Advances in experimental medicine and biology
11,Chinese journal of natural medicines
5,Chinese journal of natural medicines
40,Acta neurobiologiae experimentalis
1,Acta neurobiologiae experimentalis
44,Archives of Environmental Contamination and Toxicology
7,Health news
4,Health news
83,"Journal of Neurology, Neurosurgery & Psychiatry"
239,The Journal of biological chemistry
78,"Acta crystallographica Section B, Structural science, crystal engineering and materials"
Pt,"Acta crystallographica Section B, Structural science, crystal engineering and materials"
3,"Acta crystallographica Section B, Structural science, crystal engineering and materials"
Pt,"Acta crystallographica Section B, Structural science, crystal engineering and materials"
1,"Acta crystallographica Section B, Structural science, crystal engineering and materials"
17,"Sensors (Basel, Switzerland)"
111,"Annals of Otology, Rhinology & Laryngology"
81,Ecol. Informatics
165,Computers in biology and medicine
36,Prensa medica argentina
35,Prensa medica argentina
109,QJM : monthly journal of the Association of Physicians
11,QJM : monthly journal of the Association of Physicians
31,Ophthalmic Epidemiology
5,Endodontics & dental traumatology
4,Endodontics & dental traumatology
36,Human heredity
6,Human heredity
358,Journal of molecular biology
1,Journal of molecular biology
30,"Der Hautarzt; Zeitschrift fur Dermatologie, Venerologie, und verwandte Gebiete"
11,"Der Hautarzt; Zeitschrift fur Dermatologie, Venerologie, und verwandte Gebiete"
33,Journal francais d'ophtalmologie
5,Journal francais d'ophtalmologie
13,Zhonghua shi yan he lin chuang bing du xue za zhi = Zhonghua shiyan he linchuang bingduxue zazhi = Chinese journal of experimental and clinical virology
3,Zhonghua shi yan he lin chuang bing du xue za zhi = Zhonghua shiyan he linchuang bingduxue zazhi = Chinese journal of experimental and clinical virology
20,Brazilian oral research
4,Brazilian oral research
48,Arquivos brasileiros de cardiologia
1,Arquivos brasileiros de cardiologia
75,Molecular and Cellular Biochemistry
2012,International Journal of Endocrinology
64,Research publications - Association for Research in Nervous and Mental Disease
294,Studies in health technology and informatics
17,Cell stem cell
2,Cell stem cell
3,Pediatriia
95,Advances in clinical chemistry
35,American journal of human genetics
3,American journal of human genetics
78,Proceedings of the Society for Experimental Biology and Medicine
53,Current Sociology
97,The Journal of Laryngology & Otology
958,The Astrophysical Journal
34,Journal of Pineal Research
39,Nihon rinsho. Japanese journal of clinical medicine
11,Nihon rinsho. Japanese journal of clinical medicine
57,Acta PÃ¦diatrica
23,Journal of Correctional Health Care
24,The Enzymes
abs/2408.08848,ArXiv
8,The Journal of surgical research
3,The Journal of surgical research
161,Military medicine
12,Military medicine
64,Nederlandsch tijdschrift voor verloskunde en gynaecologie
26,Buffalo Medical and Surgical Journal
23,Fa yi xue za zhi
1,Fa yi xue za zhi
84,Revista clinica espanola
154,JAMA dermatology
6,JAMA dermatology
195,Environmental Monitoring and Assessment
89,Journal of Southern History
11,Journal of Pediatric Gastroenterology and Nutrition
305,American journal of physiology. Endocrinology and metabolism
8,American journal of physiology. Endocrinology and metabolism
70,IEEE Transactions on Communications
2015,Bioinorganic Chemistry and Applications
5086,Zootaxa
1,Zootaxa
15,Exploratory Research in Clinical and Social Pharmacy
28,Cell Research
13,Nature Reviews Gastroenterology &Hepatology
8,Herz
6,Herz
156,Wiener Medizinische Wochenschrift
25,Australian health review : a publication of the Australian Hospital Association
5,Australian health review : a publication of the Australian Hospital Association
1166,"Journal of chromatography. B, Analytical technologies in the biomedical and life sciences"
54,IEEE Transactions on Circuits and Systems I: Regular Papers
19,Review of Radical Political Economics
8,BMJ Open
70,Kyobu geka. The Japanese journal of thoracic surgery
11,Kyobu geka. The Japanese journal of thoracic surgery
30,Klinika oczna
7,Angiologica
3,Angiologica
5,IPSJ Trans. Syst. LSI Des. Methodol.
46,Chemical communications
10,Chemical communications
54,Chemical communications
14,Chemical communications
12,BMC Health Services Research
45,Zoological Research
3,Journal of biochemical and biophysical methods
6,Journal of biochemical and biophysical methods
143,Science
3608,Science
1,Blood Science
3,Theology
48,Arquivos brasileiros de endocrinologia e metabologia
6,Arquivos brasileiros de endocrinologia e metabologia
13,International Breastfeeding Journal
36,The journal of extra-corporeal technology
4,The journal of extra-corporeal technology
110,"Experimental and clinical endocrinology & diabetes : official journal, German Society of Endocrinology [and] German Diabetes Association"
5,"Experimental and clinical endocrinology & diabetes : official journal, German Society of Endocrinology [and] German Diabetes Association"
6,"Geological Society, London, Engineering Geology Special Publications"
104,The Journal of Physiology
150,Cytogenetic and Genome Research
2,Nurse author & editor
3,Nurse author & editor
4,Acta otorhinolaryngologica Italica : organo ufficiale della Societa italiana di otorinolaringologia e chirurgia cervico-facciale
4,Acta otorhinolaryngologica Italica : organo ufficiale della Societa italiana di otorinolaringologia e chirurgia cervico-facciale
5,ACS biomaterials science & engineering
12,ACS biomaterials science & engineering
187,Cell
